disease,symptom,description,weight,precautions
(vertigo) paroymsal  positional vertigo,vomiting,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,5,"['lie down', 'avoid sudden change in body', 'avoid abrupt head movment', 'relax']"
(vertigo) paroymsal  positional vertigo,headache,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,3,"['lie down', 'avoid sudden change in body', 'avoid abrupt head movment', 'relax']"
(vertigo) paroymsal  positional vertigo,nausea,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,5,"['lie down', 'avoid sudden change in body', 'avoid abrupt head movment', 'relax']"
(vertigo) paroymsal  positional vertigo,spinning_movements,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,6,"['lie down', 'avoid sudden change in body', 'avoid abrupt head movment', 'relax']"
(vertigo) paroymsal  positional vertigo,loss_of_balance,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,4,"['lie down', 'avoid sudden change in body', 'avoid abrupt head movment', 'relax']"
(vertigo) paroymsal  positional vertigo,unsteadiness,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,4,"['lie down', 'avoid sudden change in body', 'avoid abrupt head movment', 'relax']"
acne,skin_rash,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.",3,"['bath twice', 'avoid fatty spicy food', 'drink plenty of water', 'avoid too many products']"
acne,pus_filled_pimples,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.",2,"['bath twice', 'avoid fatty spicy food', 'drink plenty of water', 'avoid too many products']"
acne,blackheads,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.",2,"['bath twice', 'avoid fatty spicy food', 'drink plenty of water', 'avoid too many products']"
acne,scurring,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.",2,"['bath twice', 'avoid fatty spicy food', 'drink plenty of water', 'avoid too many products']"
aids,muscle_wasting,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",3,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']"
